id,slug,title,japanese_title,players_min,players_max,playtime_min,playtime_max,complexity,bgg_id,tags,mechanics,themes,locales,guide_url,source_sha256
game:apiary,apiary,Apiary,エイピアリー,1,5,60,90,3.0,400314,worker-placement|engine-building|space|bees|solo-mode|stonemaier,worker_placement|engine_building|resource_management|tile_placement|variable_setup,space_exploration|bees|hive_building|science_fiction|alien_worlds,en|ja,https://kafka2306.github.io/boardgamelist/games/apiary/,da9a485007b83dcd53430ee072d6217e5bd31d6b702875cddf11282cc79427d9
game:arcs,arcs,Arcs,アークス,2,4,60,120,3.42,359871,4x|trick-taking|asymmetric|strategy|space|card-driven,trick_taking|area_control|asymmetric_player_powers|card_driven|4x|variable_setup,space_exploration|politics|empire_building|science_fiction,en|ja,https://kafka2306.github.io/boardgamelist/games/arcs/,5aa992a187596e1c8105b5efad12ef0c46556d33ca164fd48a579a44db9b3f06
game:blood-rage,blood-rage,Blood Rage,ブラッド・レイジ,2,4,60,90,2.88,170216,strategy|area-control|card-drafting|miniatures|viking|mythology,,,en|ja,https://kafka2306.github.io/boardgamelist/games/blood-rage/,87e3abd626fc181ef72dba054c0793abf99cd26d33d856e592374bf05c370e09
game:bohnanza,bohnanza,BOHNANZA,ボーナンザ,2,7,45,45,1.6,11,card-game|trading|negotiation|hand-management,trading|negotiation|hand_management|set_collection,farming|beans|agriculture,en|ja,https://kafka2306.github.io/boardgamelist/games/bohnanza/,034d4b33113cafe0fa2b530a1a699e1ca3063155f1e21d8ca225cc8b0e95b46f
game:caylus,caylus,Caylus,ケイラス,2,5,90,90,3.3,18602,worker-placement|medieval|strategy|economic|castle-building,,,en|ja,https://kafka2306.github.io/boardgamelist/games/caylus/,21c2300827c8763095caed5940d2aa47311665a3b7a40ca4e63a20a26e873f96
game:concept,concept,Concept,コンセプト,4,12,40,40,1.9,147151,party-game|communication|deduction|family-game|word-game,,,en|ja,https://kafka2306.github.io/boardgamelist/games/concept/,a26886f1671c832d9132321b3c7e97c2ab7398946b1a356b8ac5c5d19a846773
game:dice-forge,dice-forge,Dice Forge,ダイスフォージ,2,4,45,45,2.2,194594,dice-building|resource-management|engine-building|innovation|family-plus,,,en|ja,https://kafka2306.github.io/boardgamelist/games/dice-forge/,fc1a121dddd21b3f2a66fd3ef4194312e91c12f4c7f9f2570ad5599e6a382028
game:dune-imperium,dune-imperium,Dune: Imperium,デューン 砂の惑星：インペリウム,1,4,60,120,3.07,316554,deck-building|worker-placement|area-control|science-fiction|political|dune|conflict-resolution,deck_building|worker_placement|area_control|hand_management|resource_management|conflict_resolution|multi_use_cards,science_fiction|political_intrigue|desert_planet|spice_trade|galactic_empire|faction_warfare,en|ja,https://kafka2306.github.io/boardgamelist/games/dune-imperium/,2f5d51fc2d6e8fa0dcf02f167ac630f0d82ba0aecc676f47e732f20592ec69b6
game:fixer,fixer,FIXER,フィクサー,3,4,30,30,2.0,425604,trick-taking|political|negotiation|hidden-information,,,en|ja,https://kafka2306.github.io/boardgamelist/games/fixer/,8a620016f8a5f4ac1e5ba46f2e01930fb7dd5e4818c373e8b4a56f31d0793b55
game:fort,fort,FORT,フォート,2,4,40,40,2.1,296912,deck-building|hand-management|friendship|area-control,,,en|ja,https://kafka2306.github.io/boardgamelist/games/fort/,3f731fa7d6f339d973909b2d6aaddc3d6d010053d76aaec0e1819e1650338cf6
